AI Method,Ghost Method,Time (s),Score,Level
235,RLPacMan,MyGhosts,21.62,1230,1
236,RLPacMan,MyGhosts,35.90,2440,1
237,RLPacMan,MyGhosts,25.85,1860,1
238,RLPacMan,MyGhosts,19.65,1610,1
239,RLPacMan,MyGhosts,13.70,1220,1
240,RLPacMan,MyGhosts,22.55,1880,1
241,RLPacMan,MyGhosts,30.78,1730,1
242,RLPacMan,MyGhosts,15.65,1660,1
243,RLPacMan,MyGhosts,32.27,1990,1
244,RLPacMan,MyGhosts,17.42,1640,1
245,RLPacMan,MyGhosts,27.55,2560,1
246,RLPacMan,MyGhosts,9.37,660,1
247,RLPacMan,MyGhosts,24.83,2440,1
248,RLPacMan,MyGhosts,21.23,2330,1
249,RLPacMan,MyGhosts,31.45,2340,1
250,RLPacMan,MyGhosts,28.57,1680,1
251,RLPacMan,MyGhosts,16.20,1850,1
252,RLPacMan,MyGhosts,15.90,1560,1
253,RLPacMan,MyGhosts,16.22,1960,1
254,RLPacMan,MyGhosts,74.03,3830,2
255,RLPacMan,MyGhosts,78.50,3210,2
256,RLPacMan,MyGhosts,37.70,1960,1
257,RLPacMan,MyGhosts,13.00,1090,1
258,RLPacMan,MyGhosts,20.95,1300,1
259,RLPacMan,MyGhosts,33.45,2540,1
260,RLPacMan,MyGhosts,38.10,1850,1
261,RLPacMan,MyGhosts,13.03,2490,1
262,RLPacMan,MyGhosts,53.78,2480,1
263,RLPacMan,MyGhosts,27.62,2220,1
264,RLPacMan,MyGhosts,26.35,2910,1
265,RLPacMan,MyGhosts,29.08,2740,1
266,RLPacMan,MyGhosts,76.05,3620,2
267,RLPacMan,MyGhosts,46.25,2940,1
268,RLPacMan,MyGhosts,21.63,1530,1
269,RLPacMan,MyGhosts,17.87,1360,1
270,RLPacMan,MyGhosts,38.72,2070,1
271,RLPacMan,MyGhosts,39.00,2340,1
272,RLPacMan,MyGhosts,83.92,5360,2
273,RLPacMan,MyGhosts,18.67,1800,1
274,RLPacMan,MyGhosts,17.38,1330,1
275,RLPacMan,MyGhosts,23.13,1910,1
276,RLPacMan,MyGhosts,38.32,2920,1
277,RLPacMan,MyGhosts,34.72,3220,1
278,RLPacMan,MyGhosts,25.08,1780,1
279,RLPacMan,MyGhosts,26.33,2120,1
280,RLPacMan,MyGhosts,27.18,2570,1
281,RLPacMan,MyGhosts,31.53,2480,1
282,RLPacMan,MyGhosts,13.87,1040,1
283,RLPacMan,MyGhosts,39.40,2640,1
284,RLPacMan,MyGhosts,79.57,5290,2
285,RLPacMan,MyGhosts,17.98,1690,1
286,RLPacMan,MyGhosts,20.20,1210,1
287,RLPacMan,MyGhosts,21.50,1190,1
288,RLPacMan,MyGhosts,27.85,2680,1
289,RLPacMan,MyGhosts,23.55,2000,1
290,RLPacMan,MyGhosts,21.35,1320,1
291,RLPacMan,MyGhosts,22.40,1350,1
292,RLPacMan,MyGhosts,24.82,4410,1
293,RLPacMan,MyGhosts,24.85,3260,1
294,RLPacMan,MyGhosts,16.72,2030,1
295,RLPacMan,MyGhosts,78.85,3770,2
296,RLPacMan,MyGhosts,34.75,3500,1
297,RLPacMan,MyGhosts,46.38,2250,1
298,RLPacMan,MyGhosts,18.48,1840,1
299,RLPacMan,MyGhosts,19.35,1760,1
300,RLPacMan,MyGhosts,20.80,2230,1
301,RLPacMan,MyGhosts,24.63,2100,1
302,RLPacMan,MyGhosts,20.30,1580,1
303,RLPacMan,MyGhosts,34.87,2700,1
304,RLPacMan,MyGhosts,15.25,1250,1
305,RLPacMan,MyGhosts,17.37,1850,1
306,RLPacMan,MyGhosts,20.32,2830,1
307,RLPacMan,MyGhosts,77.83,3670,2
308,RLPacMan,MyGhosts,24.23,2340,1
309,RLPacMan,MyGhosts,21.03,2020,1
